,Total Attacks,Temp Anomaly (F),Total Population,Normalized Data,Colors,Upper Confidence,Lower Confidence,N Upper Confidence,N Lower Confidence
1960,25,0.08,180671000.0,1.3837306485268803,#C6221E,30.0,20.0,1.6604767782322563,1.1069845188215042
1961,17,-0.56,183691000.0,0.9254672248504282,#2592D1,21.12310562561766,12.876894374382339,1.1499259966801674,0.7010084530206889
1962,21,-0.38,186538000.0,1.125775981301397,#2592D1,25.58257569495584,16.41742430504416,1.371440440819342,0.8801115217834522
1963,11,-0.33,189242000.0,0.5812663150886167,#2592D1,14.3166247903554,7.6833752096446,0.7565247033087475,0.40600792686848586
1964,14,0.83,191889000.0,0.7295884599951014,#C6221E,17.74165738677394,10.25834261322606,0.9245791778983653,0.5345977420918374
1965,14,-0.32,194303000.0,0.7205241298384483,#2592D1,17.74165738677394,10.25834261322606,0.9130923036069408,0.5279559560699556
1966,16,-0.79,196560000.0,0.814000814000814,#2592D1,20.0,12.0,1.0175010175010175,0.6105006105006106
1967,9,0.03,198712000.0,0.4529167840895366,#C6221E,12.0,6.0,0.6038890454527155,0.30194452272635774
1968,15,-0.61,200706000.0,0.7473618128008132,#2592D1,18.872983346207416,11.127016653792584,0.9403298031054087,0.5543938224962175
1969,15,-0.66,202677000.0,0.7400938438994065,#2592D1,18.872983346207416,11.127016653792584,0.931185252702942,0.549002435095871
1970,9,-0.7,205052000.0,0.43891305620037846,#2592D1,12.0,6.0,0.5852174082671713,0.29260870413358564
1971,5,-0.22,207661000.0,0.2407770356494479,#2592D1,7.23606797749979,2.76393202250021,0.34845579947605904,0.13309827182283676
1972,9,-0.32,209896000.0,0.42878377863322786,#2592D1,12.0,6.0,0.5717117048443038,0.2858558524221519
1973,4,-0.68,211909000.0,0.18876026973842547,#2592D1,6.0,2.0,0.2831404046076382,0.09438013486921273
1974,13,0.39,213854000.0,0.6078913651369626,#C6221E,16.605551275463988,9.39444872453601,0.7764900948995103,0.4392926353744148
1975,20,0.36,215973000.0,0.926041681136068,#C6221E,24.47213595499958,15.52786404500042,1.1331108960379113,0.7189724662342246
1976,18,-0.72,218035000.0,0.8255555300754466,#2592D1,22.242640687119284,13.757359312880716,1.0201408345962475,0.6309702255546457
1977,8,-1.12,220239000.0,0.36324175100686074,#2592D1,10.82842712474619,5.17157287525381,0.49166710368037403,0.23481639833334741
1978,9,0.76,222585000.0,0.40433991508861783,#C6221E,12.0,6.0,0.5391198867848238,0.2695599433924119
1979,9,-1.3,225055000.0,0.39990224611761566,#2592D1,12.0,6.0,0.5332029948234875,0.26660149741174377
1980,9,-0.37,227225000.0,0.3960831774672681,#2592D1,12.0,6.0,0.5281109032896909,0.26405545164484545
1981,27,0.48,229466000.0,1.1766449059991457,#C6221E,32.19615242270663,21.803847577293368,1.403090323738882,0.9501994882594096
1982,22,0.59,231664000.0,0.9496512190068376,#C6221E,26.69041575982343,17.30958424017657,1.152117539187074,0.747184898826601
1983,22,-0.1,233792000.0,0.9410073911853272,#2592D1,26.69041575982343,17.30958424017657,1.141630841081963,0.7403839412886912
1984,21,-0.5,235825000.0,0.8904908300646667,#2592D1,25.58257569495584,16.41742430504416,1.0848118602758758,0.6961697998534575
1985,21,-0.26,237924000.0,0.8826347909416452,#2592D1,25.58257569495584,16.41742430504416,1.0752414928698173,0.6900280890134732
1986,15,-0.02,240133000.0,0.6246538376649607,#2592D1,18.872983346207416,11.127016653792584,0.7859387650263568,0.4633689103035645
1987,15,1.03,242289000.0,0.6190953778339091,#C6221E,18.872983346207416,11.127016653792584,0.7789451170382236,0.45924563862959455
1988,26,1.01,244499000.0,1.0633990323068807,#C6221E,31.099019513592786,20.900980486407214,1.2719487406325911,0.8548493239811702
1989,25,1.14,246819000.0,1.012887986743322,#C6221E,30.0,20.0,1.2154655840919864,0.8103103893946576
1990,20,0.02,249623000.0,0.8012082219987742,#C6221E,24.47213595499958,15.52786404500042,0.9803638268508743,0.622052617146674
1991,22,0.91,252981000.0,0.8696305256125955,#C6221E,26.69041575982343,17.30958424017657,1.0550363766379067,0.684224674587284
1992,24,1.48,256514000.0,0.9356214475623164,#C6221E,28.898979485566358,19.101020514433642,1.1266043758066364,0.744638519317996
1993,22,0.32,259919000.0,0.8464175377713826,#C6221E,26.69041575982343,17.30958424017657,1.0268743631601933,0.6659607123825719
1994,24,-0.85,263126000.0,0.9121105477983931,#2592D1,28.898979485566358,19.101020514433642,1.098294333724769,0.7259267618720173
1995,49,1.16,266278000.0,1.8401820653602625,#C6221E,56.0,42.0,2.103065217554586,1.5772989131659394
1996,27,0.35,269394000.0,1.0022494933072006,#C6221E,32.19615242270663,21.803847577293368,1.1951324982258935,0.8093664883885078
1997,28,-0.11,272657000.0,1.0269312726245796,#2592D1,33.29150262212918,22.70849737787082,1.2210030412617017,0.8328595039874575
1998,26,0.6,275854000.0,0.9425275689313912,#C6221E,31.099019513592786,20.900980486407214,1.127372433011404,0.7576827048513783
1999,36,2.11,279040000.0,1.290137614678899,#C6221E,42.0,30.0,1.5051605504587156,1.0751146788990826
2000,52,1.84,282162411.0,1.8429102521384395,#C6221E,59.211102550927976,44.788897449072024,2.098475921760109,1.5873445825167698
2001,58,1.06,284968955.0,2.0353094251968606,#C6221E,65.61577310586391,50.38422689413609,2.3025586455852327,1.7680602048084884
2002,49,1.94,287625193.0,1.7036059841948548,#C6221E,56.0,42.0,1.9469782676512624,1.4602337007384467
2003,57,1.05,290107933.0,1.964785981912463,#C6221E,64.54983443527075,49.45016556472925,2.22502824268755,1.7045437211373757
2004,35,1.03,292805298.0,1.1953335625778192,#C6221E,40.91607978309962,29.083920216900385,1.3973818118243073,0.9932853133313313
2005,52,1.33,295516599.0,1.7596304294230185,#C6221E,59.211102550927976,44.788897449072024,2.0036472655442266,1.5156135933018107
2006,54,2.08,298379912.0,1.8097733067231416,#C6221E,61.348469228349536,46.651530771650464,2.05605225958876,1.5634943538575232
2007,66,1.6,301231207.0,2.191008051831761,#C6221E,74.12403840463597,57.87596159536404,2.460702499679456,1.9213136039840666
2008,60,1.54,304093966.0,1.9730743358452565,#C6221E,67.74596669241484,52.25403330758517,2.2277971372971876,1.718351534393325
2009,41,0.34,306771529.0,1.336499515898687,#C6221E,47.40312423743285,34.59687576256715,1.5452256730588856,1.1277733587384882
2010,40,0.34,309348193.0,1.2930413335241302,#C6221E,46.324555320336756,33.675444679663244,1.4974891196580145,1.088593547390246
2011,48,0.88,311663358.0,1.5401233018865181,#C6221E,54.92820323027551,41.07179676972449,1.7624209526188672,1.317825651154169
2012,64,1.7,313998379.0,2.0382270826945894,#C6221E,72.0,56.0,2.293005468031413,1.7834486973577657
2013,60,2.94,316204908.0,1.8975037541163025,#C6221E,67.74596669241484,52.25403330758517,2.142470435418252,1.6525370728143527
2014,66,0.27,318563456.0,2.0718007278273625,#C6221E,74.12403840463597,57.87596159536404,2.3268217684276995,1.8167796872270259
2015,72,0.73,320896618.0,2.2437132696736617,#C6221E,80.48528137423857,63.51471862576143,2.5081374143444095,1.979289125002914
2016,64,2.31,323127513.0,1.9806422364288119,#C6221E,72.0,56.0,2.2282225159824134,1.7330619568752106
2017,65,3.01,325700000.0,1.9957015658581518,#C6221E,73.06225774829855,56.93774225170145,2.243237879898635,1.748165251817668
